c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28;c29;c30;c31;c32;c33;c34;c35;c36;c37;c38;c39;c40;c41;c42;c43;c44;c45;c46;c47;c48;c49;c50;c51;c52;c53;c54;c55;c56;c57;c58;c59;c60;c61;c62;c63;c64;c65;c66;c67;c68;c69;c70;c71;c72;c73;c74;c75;c76;c77;c78;c79;c80;c81;c82;c83;c84;c85;c86;c87;c88;c89;c90;c91;c92;c93;c94;c95;c96;c97;c98;c99;c100;c101;c102;c103;c104;c105;c106;c107;c108;c109;c110;c111;c112;c113
2.4876;3.7158;2.885;1.9178;3.984;2.6647;3.0742;2.6647;2.8299;2.2889;1.7119;1.7669;5.2170000000000005;2.1931;2.2146;3.6176;5.0494;1.9944;1.8483;5.1427;5.2601;2.387;3.0598;2.5043;3.9456;1.913;5.2170000000000005;5.0494;5.2218;5.2601;2.5953;5.1427;3.6176;3.201;2.7222;2.6647;1.7119;1.8483;2.0566;1.7142;1.4509;-0.5770000000000001;-0.5555;0.5028;1.7669;1.9178;2.2146;2.5762;3.8786;-1.2570000000000001;-3.5314;3.3016;4.0103;5.9568;-1.0942;2,387;4.051;2.9042;4.6160000000000005;2.9042;4.5945;2.5498;2.7557;0.9146;3.1795;3.4117;2.7916;1.9585;3.7996;4.9584;5.0853;4.8674;4.7812;2.7797;4.2018;3.5626;5.4516;3.7876;6.8498;6.7301;6.4332;7.6351;7.117999999999999;7.2999;-0.2741;4.4778;1.4311;1.0002;1.2504;1.0894;0.4573;1.4269;1.3264;1.5293;1.831;6.8714;7.1443;7.5872;7.7069;5.7628;5.1954;5.205;4.6974;7.0581;6.2153;6.0813;6.1794;7.3263;6.8594;7.2951;7.3861;8.8442;7.039
2.3846;3.7254;2.9018;1.9489;3.984;2.6647;3.1125;2.9401;2.8299;2.2889;1.7047;1.7406;5.1978;2.1931;2.2697;3.6344;5.0206;1.9561;1.8219999999999998;5.1667;5.2505;2.4157;3.1388;2.4659999999999997;4.0127;1.4317;5.1978;5.0206;5.2241;5.2505;2.5953;5.1667;3.6344;3.2417;2.7007;2.9401;1.7047;1.8219999999999998;2.1308;1.7166;1.4006;-0.4741;-0.4932;0.3711;1.7406;1.9489;2.2697;2.5905;3.3519;-0.905;-3.4046;3.2801;4.0318;5.8873;-0.8643;2,466;3.9816;3.4357;4.4101;2.7845;4.8411;2.8611;2.7581;0.9864;3.1149;3.3351;2.7318;1.6376;3.6607;4.9991;5.0996;4.9153;4.5514;3.158;4.2114;3.5889;6.9073;3.2992;6.857;6.7205;6.4117;7.683;7.0868;7.2903;-0.2682;4.473;1.4527;1.002;1.2115;1.1169;0.3567;1.4473;1.3414;1.4952;1.8328;6.869;7.1611;7.5441;7.7309;5.7485;5.2936;5.3056;4.9033;7.0773;6.1196;6.1603;6.1052;7.2951;6.8809;7.3382;7.6136;8.4922;6.9791
2.2841;3.7493;2.8826;1.9345;3.9887;2.7054;3.1125;2.7222;2.7677;2.2553;1.6735;1.7358;5.1858;2.3248;2.3224;3.6392;5.0063;1.9609;1.8364;5.1643;5.2648;2.4828;3.225;2.5474;3.96;1.4437;5.1858;5.0063;5.2289;5.2648;2.6097;5.1643;3.6392;3.3255;2.6049;2.7222;1.6735;1.8364;2.0853;1.7526;1.3647;-0.4381;-0.4405;0.2179;1.7358;1.9345;2.3224;2.6001;2.6169;-0.8356;-3.0478;3.4524;4.0965;5.77;-0.6393;2,4804;4.0414;3.9911;4.1851;2.8347;4.5921;3.1364;2.7988;1.0415;3.0981;3.2729;2.6695;1.4916;3.5841;4.9871;5.2026;4.9368;4.3215;3.6392;4.2449;3.553;7.6543;3.1532;6.9097;6.7277;6.4212;7.7524;7.0485;7.2425;-0.2903;4.4694;1.4275;1.0104;1.2582;1.1193;0.3472;1.4419;1.3623;1.4958;1.8226;6.8378;7.2137;7.5082;7.6926;5.6958;5.3271;5.4229;4.9775;7.1275;6.122000000000001;6.2656;6.0358;7.2664;6.936;7.3574;7.9224;8.0756;6.9623
2.4181;3.6966;2.9018;1.9393;3.9504;2.6911;3.0933;2.6121;2.7677;2.2553;1.6472;1.7813;5.2241;2.3248;2.3894;3.6799;5.0302;2.2003;1.8196;5.1763;5.2577;2.4684;3.292;2.6288;3.8834;1.9656;5.2241;5.0302;5.2122;5.2577;2.6073;5.1763;3.6799;3.3902;2.5786;2.6121;1.6472;1.8196;2.0734;1.8675;1.3862;-0.4549;-0.3998;0.1365;1.7813;1.9393;2.3894;2.4972;2.3176;-0.8811;-3.3399;3.8283;4.1372;5.5785;-0.4621;2,569;4.1276;4.5346;3.9361;3.0263;4.3263;3.3088;2.818;1.0798;3.1532;3.2705;2.4684;1.2546;3.4931;4.9512;5.4061;5.0135;4.2665;3.6296;4.1683;3.5506;7.3741;3.0837;6.9288;6.7349;6.4404;7.7859;7.0246;7.1611;-0.2616;4.4616;1.4503;0.9499;1.2665;1.0864;0.3005;1.4581;1.3791;1.4874;1.8441;6.8211;7.2449;7.5274;7.6471;5.6096;5.2816;5.4684;5.0135;7.172999999999999;6.1531;6.4021;6.0573;7.2018;6.9336;7.3885;8.2863;7.6183;6.9479999999999995
2.6839;3.7182;2.8946;1.9513;3.9361;2.6647;3.0933;2.636;2.7318;2.296;1.6424;1.8004;5.2265;2.2984;2.5666;3.7230000000000003;5.0518;2.2793;1.8555;5.1667;5.2816;2.4636;3.3160000000000003;2.5833;3.7661;2.5474;5.2265;5.0518;5.2625;5.2816;2.648;5.1667;3.7230000000000003;3.3279;2.7438;2.636;1.6424;1.8555;2.0231;2.0351;1.3815;-0.5004;-0.4118;0.2586;1.8004;1.9513;2.5666;2.2146;2.3080000000000003;-0.8811;-3.6488;4.2353;4.2042;5.5138;-0.2442;2,6432;4.2258;4.853;3.6607;3.3734;4.0414;3.2274;2.8802;1.1181;3.1987;3.3208;2.0877;1.2402;3.4165;4.9512;5.6192;5.0494;4.3144;3.2872;4.0558;3.6655;6.7062;2.9305;6.9552;6.8139;6.4212;7.7931;7.0174;7.082000000000001;-0.2646;4.47;1.4802;0.9397;1.2582;1.1253;0.2795;1.4216;1.4048;1.4623;1.8447;6.8881;7.2425;7.5274;7.6758;5.4971;5.3032;5.4803;5.0135;7.2065;6.1052;6.4667;6.0645;7.2089;6.9264;7.4005;8.5234;7.2329;6.9647
2.7294;3.7804;2.8922;1.8962;3.9169;2.6839;3.0287;2.5498;2.7318;2.296;1.6855;1.7717;5.2074;2.2984;2.5522;3.7158;5.0518;2.2529;1.8435;5.1834;5.2816;2.3176;3.4285;2.6217;3.9792;2.4612;5.2074;5.0518;5.2553;5.2816;2.6647;5.1834;3.7158;3.2322;2.9353;2.5498;1.6855;1.8435;2.0279;1.9896;1.3958;-0.5602;-0.4812;0.4094;1.7717;1.8962;2.5522;2.1548;2.0806;-0.8667;-3.9265;4.6017;4.3335;5.6;-0.079;2,6911;4.3766;4.8698;3.45;3.79;3.4333;2.9329;2.9616;1.1516;3.3734;3.2274;1.7238;1.2378;3.4931;4.9273;5.8083;5.0446;4.4939;2.7102;3.9049;4.1731;6.1507;2.9329;6.9767;6.869;6.45;7.7788;6.9599;7.039;-0.2269;4.5017;1.479;0.9954;1.2773;1.0888;0.2328;1.4186;1.3791;1.4641;1.8328;6.9001;7.2616;7.5489;7.7141;5.5019;5.3127;5.5115;5.0087;7.1682;5.9544;6.5314;6.1052;7.2113;6.9408;7.4316;8.7077;6.8881;6.9911
2.6887;3.79;2.9185;1.901;3.9097;2.6791;3.0287;2.5259;2.7605;2.3056;1.7358;1.7645;5.2122;2.2529;2.1811;3.7230000000000003;5.0542;2.2745;1.8076;5.1882;5.2529;2.3008;3.4764;2.5714;4.1061;2.2793;5.2122;5.0542;5.2505;5.2529;2.7102;5.1882;3.7230000000000003;3.2992;2.9329;2.5259;1.7358;1.8076;2.0518;1.6233;1.4174;-0.6297;-0.589;0.5507;1.7645;1.901;2.1811;2.3727;1.6281;-0.6943;-4.0414;4.8578;4.5155;5.6958;-0.0239;2,6169;4.5418;4.5657;3.3160000000000003;4.1444;3.2178;2.5738;2.9856;1.2641;3.486;3.225;1.3455;1.3527;3.6392;4.9536;5.8634;4.9799;4.6807;2.0949;3.8689999999999998;4.5849;5.7078;3.3016;6.9983;6.9552;6.5601;7.7237;6.9384;7.0078;-0.2209;4.4903;1.4844;0.8948;1.2761;1.1109;0.24;1.4198;1.3827;1.5054;1.8256;6.7469;7.3239;7.5417;7.7572;5.6216;5.2505;5.4516;5.0278;7.0413;5.7174;6.5218;6.1244;7.2042;6.9552;7.4986;8.8298;6.6846;7.0294
2.7845;3.7876;2.9951;1.9752;3.8882;2.6911;2.9305;2.6384;2.7605;2.3056;1.7813;1.7597;5.1787;2.2529;2.229;3.7469;5.0182;1.9944;1.7933;5.1858;5.2577;2.3679;3.5721;2.569;3.9959;2.5426;5.1787;5.0182;5.2505;5.2577;2.6983;5.1858;3.7469;3.3543;2.806;2.6384;1.7813;1.7933;2.0016;1.1516;1.4748;-0.68;-0.7302;0.5602;1.7597;1.9752;2.229;2.5187;1.2043;-0.5435;-3.9648;4.9632;4.4341;5.8419;-0.1125;2,4972;4.6878;3.9959;3.201;4.4628;2.7821;2.1931;3.0119;1.4916;3.6057;3.237;1.1756;1.5155;3.7589;4.9895;5.7365;4.8459;4.7621;1.7549;4.0414;5.5354;5.4755;4.2162;7.015;7.039;6.6487;7.7069;6.9671;7.0006;-0.2352;4.476;1.4958;0.9044;1.2953;1.1031;0.1927;1.3838;1.403;1.5113;1.801;6.754;7.3358;7.4699;7.8099;5.6814;5.2337;5.4348;4.9919;6.8881;5.4109;6.5577;6.1723;7.2257;6.9599;7.5082;8.916;6.6319;7.0892
2.8754;3.8044;3.0215;1.9992;3.8786;2.7007;2.9305;2.7198;2.7198;2.2889;1.8364;1.7717;5.1643;2.2625;2.3655;3.7373;4.9991;1.9321;1.8268;5.2194;5.2409;2.4229;3.5985;2.636;3.9744;3.0765;5.1643;4.9991;5.2170000000000005;5.2409;2.7054;5.2194;3.7373;3.3567;2.7677;2.7198;1.8364;1.8268;2.083;1.2043;1.4365;-0.7207;-0.8188;0.4262;1.7717;1.9992;2.3655;2.6025;0.3184;-0.3567;-3.699;4.9464;4.3598;5.7581;0.0192;2,5115;4.7429;3.3184;3.2298;4.7836;2.7701;1.8651;3.0406;1.7214;3.6943;3.2705;1.2043;1.5036;3.8738;5.0135;5.3870000000000005;4.6591;4.7860000000000005;1.9034;4.1659;6.6367;5.2888;4.9464;7.0485;7.1587;6.6702;7.7045;6.9552;7.0509;-0.2245;4.4933;1.5137;0.8829;1.2941;1.1061;0.1891;1.3617;1.4461;1.5221;1.8196;6.7445;7.3263;7.2568;7.841;5.6743;5.2553;5.4277;5.0015;6.8331;4.9177;6.6152;6.2441;7.2353;6.9479999999999995;7.58;8.9567;6.8809;7.039
2.8659;3.735;2.9544;2.0327;3.8547;2.6336;2.873;2.7222;2.7198;2.2889;1.8962;1.8076;5.1643;2.2625;2.3966;3.7230000000000003;5.0637;1.901;1.8842;5.2601;5.2744;2.3679;3.4812;2.7438;4.0366;3.9816;5.1643;5.0637;5.2098;5.2744;2.6887;5.2601;3.7230000000000003;3.3279;2.7964;2.7222;1.8962;1.8842;2.0901;1.415;1.4988;-0.7087;-0.7877;0.3304;1.8076;2.0327;2.3966;2.5546;-0.3304;-0.1437;-2.4134;4.798;4.2665;5.5043;0.0192;2,5019;4.8339;2.5786;3.3112;4.9656;2.5331;1.6328;3.043;1.901;3.7804;3.292;1.6568;1.6783;3.972;5.0302;5.0326;4.6088;4.7046;2.9066;4.0247;6.6559;5.1427;5.8849;7.1012;7.1802;6.754;7.7141;6.9456;7.0557;-0.228;4.4945;1.4844;0.8715;1.3186;1.0642;0.1706;1.3797;1.4909999999999999;1.5269;1.7825;6.5098;7.3334;6.9239999999999995;7.8051;5.6527;5.2936;5.3367;5.0326;6.8618;4.3239;6.6774;6.2872;7.2257;6.9216;7.6112;8.9352;7.1802;6.9695
